ActiveUsers,RSRP,SINR,CQI,MCS,PRBUtilization,Throughput
88.0,-79.2,10.8,8,15,56.9,45.71
160.0,-85.2,9.3,7,13,89.5,62.32
9.0,-83.7,10.2,8,15,20.2,16.36
180.0,-91.7,5.6,6,11,100.0,46.4
61.0,-61.8,21.2,12,22,44.6,73.5
143.0,-65.7,16.5,10,19,81.0,98.63
166.0,-120.8,-7.0,1,2,93.5,5.36
21.0,-96.6,6.2,6,11,21.0,11.74
65.0,-128.8,-5.4,2,4,42.1,3.28
34.0,-128.0,-3.5,2,4,28.6,3.37
40.0,-61.8,13.4,9,17,23.2,22.48
93.0,-64.8,16.7,10,19,55.1,70.42
12.0,-96.4,5.8,6,11,15.5,7.9
149.0,-99.8,5.1,6,11,73.7,31.8
113.0,-76.4,10.2,8,15,62.3,46.43
43.0,-54.4,18.8,11,21,31.2,41.08
70.0,-115.1,-0.4,4,7,39.2,7.76
90.0,-99.4,4.2,5,9,49.9,21.2
117.0,-130.0,-9.8,0,0,66.9,2.16
124.0,-120.6,-1.9,3,6,75.6,11.77
88.0,-110.3,-4.0,2,4,50.5,5.7
15.0,-130.8,-5.6,2,4,20.9,1.6
119.0,-108.7,-0.4,4,7,78.2,16.26
156.0,-81.3,9.9,7,13,84.0,56.56
137.0,-132.1,-8.2,1,2,83.1,3.74
23.0,-59.3,20.7,11,21,19.4,30.02
15.0,-47.0,24.9,13,24,17.0,29.51
62.0,-89.9,8.4,7,13,38.6,25.4
120.0,-113.6,-1.5,3,6,65.6,11.86
61.0,-95.3,5.0,6,11,39.6,16.6
133.0,-102.8,3.3,5,9,72.7,26.52
73.0,-86.9,10.8,8,15,46.9,40.84
58.0,-69.2,16.8,10,19,38.1,46.91
34.0,-114.8,1.2,4,7,30.9,8.42
179.0,-50.1,21.7,12,22,95.4,151.85
14.0,-127.6,-6.4,1,2,17.8,1.23
31.0,-87.9,8.5,7,13,27.9,17.43
154.0,-49.1,20.5,11,21,86.6,128.0
81.0,-89.5,8.8,7,13,44.6,29.62
141.0,-121.6,-3.9,2,4,71.3,7.94
93.0,-91.5,8.1,7,13,61.6,35.05
89.0,-101.1,5.9,6,11,52.0,26.7
129.0,-56.2,20.1,11,21,68.0,105.05
58.0,-122.7,-3.4,2,4,33.6,4.02
107.0,-92.7,7.8,7,13,66.3,37.91
86.0,-124.5,-5.7,2,4,54.9,4.43
48.0,-67.9,13.0,9,17,31.8,31.36
19.0,-134.3,-8.6,1,2,30.4,1.25
40.0,-108.6,1.2,4,7,33.4,8.48
129.0,-123.0,-3.3,3,6,75.8,9.12
17.0,-84.6,10.4,8,15,23.8,17.53
166.0,-108.6,0.4,4,7,87.2,21.43
123.0,-75.4,15.3,9,17,72.7,76.46
157.0,-123.2,-5.5,2,4,88.1,7.07
42.0,-79.8,14.8,9,17,31.5,31.96
176.0,-96.2,0.7,4,7,97.8,23.42
39.0,-81.3,12.9,9,17,23.2,23.86
168.0,-116.4,-2.5,3,6,87.0,12.9
104.0,-123.3,-5.4,2,4,64.7,5.28
13.0,-86.6,10.8,8,15,16.6,14.72
119.0,-44.6,21.0,12,22,78.0,124.73
157.0,-48.9,21.2,12,22,86.5,136.43
113.0,-78.6,13.6,9,17,69.9,72.1
61.0,-121.3,-4.7,2,4,37.8,3.29
98.0,-90.6,3.2,5,9,54.1,20.25
96.0,-96.1,2.7,5,9,63.8,21.04
112.0,-44.0,23.0,12,22,63.4,105.44
13.0,-60.7,19.1,11,21,24.1,33.67
38.0,-72.6,13.4,9,17,34.1,32.79
155.0,-100.5,3.5,5,9,86.6,30.67
91.0,-121.5,-2.0,3,6,60.2,9.29
85.0,-67.8,15.7,10,19,61.2,66.79
146.0,-116.5,-2.9,3,6,82.5,11.06
32.0,-73.3,16.9,10,19,21.9,27.44
73.0,-107.7,0.3,4,7,42.8,9.8
53.0,-90.8,5.7,6,11,40.3,19.0
82.0,-109.9,-0.7,3,6,50.5,10.09
149.0,-114.0,0.7,4,7,84.0,20.8
7.0,-114.1,-0.3,4,7,16.2,3.27
82.0,-91.1,4.7,5,9,46.3,17.88
82.0,-53.7,23.1,12,22,56.2,94.42
161.0,-90.2,6.4,6,11,90.5,50.02
118.0,-128.9,-5.1,2,4,61.9,5.04
152.0,-56.5,20.4,11,21,85.9,127.82
149.0,-55.0,20.2,11,21,85.7,129.01
111.0,-120.2,-4.1,2,4,63.8,6.31
5.0,-116.0,-0.3,4,7,13.8,2.82
124.0,-125.6,-7.0,1,2,67.8,3.79
65.0,-109.5,-2.5,3,6,43.3,6.11
174.0,-65.0,13.2,9,17,90.5,88.49
105.0,-44.0,25.8,13,24,61.8,119.27
105.0,-128.2,-9.2,0,0,53.0,2.0
35.0,-102.4,3.2,5,9,28.1,9.83
39.0,-44.2,25.3,13,24,31.7,62.18
179.0,-63.2,16.6,10,19,92.2,110.92
133.0,-91.8,5.8,6,11,75.0,36.96
117.0,-110.9,-0.5,4,7,65.4,13.49
51.0,-120.7,-0.7,3,6,33.4,6.66
143.0,-60.4,16.5,10,19,85.2,93.75
117.0,-113.9,-0.6,4,7,63.3,12.18
99.0,-123.3,-3.7,2,4,52.5,6.19
138.0,-56.0,17.3,10,19,80.3,92.09
79.0,-113.9,-1.4,3,6,54.6,9.39
25.0,-65.1,20.2,11,21,26.1,38.17
49.0,-117.5,-5.0,2,4,38.5,3.35
97.0,-48.8,23.7,13,24,65.8,119.37
44.0,-98.1,5.7,6,11,30.3,14.89
21.0,-45.4,25.6,13,24,21.2,37.13
46.0,-77.6,13.2,9,17,28.1,26.38
111.0,-80.5,8.4,7,13,67.8,43.39
137.0,-96.9,2.4,5,9,71.5,21.56
10.0,-66.8,15.3,9,17,18.4,20.44
145.0,-114.2,-4.3,2,4,79.6,8.09
48.0,-66.8,19.4,11,21,33.2,47.6
59.0,-56.0,17.8,10,19,42.9,55.75
40.0,-46.2,23.5,13,24,29.1,51.25
56.0,-131.9,-6.9,1,2,46.6,2.89
42.0,-126.6,-5.0,2,4,32.5,2.84
77.0,-77.9,10.3,8,15,46.9,37.84
160.0,-93.5,4.0,5,9,89.2,35.05
137.0,-62.5,19.4,11,21,74.7,103.43
48.0,-67.1,18.6,11,21,31.9,42.37
24.0,-80.4,11.9,8,15,30.4,29.42
56.0,-78.4,10.5,8,15,35.8,27.71
112.0,-95.3,3.5,5,9,69.1,24.84
18.0,-69.0,17.1,10,19,15.5,20.7
19.0,-54.7,23.6,13,24,16.6,30.33
114.0,-129.1,-10.0,0,0,62.8,1.95
103.0,-52.3,23.5,13,24,65.5,104.9
87.0,-135.1,-9.9,0,0,46.4,1.42
42.0,-123.5,-4.1,2,4,32.0,3.38
105.0,-78.2,12.2,8,15,54.7,50.76
171.0,-63.6,11.9,8,15,86.2,77.67
93.0,-112.4,-1.7,3,6,59.3,10.03
24.0,-83.5,14.5,9,17,28.4,31.16
97.0,-57.4,20.0,11,21,64.8,91.54
166.0,-62.4,14.7,9,17,93.3,103.64
164.0,-88.8,6.1,6,11,96.6,47.83
79.0,-121.7,-7.2,1,2,44.7,2.25
63.0,-69.5,16.2,10,19,44.9,52.08
49.0,-108.7,1.2,4,7,32.8,8.75
120.0,-56.7,16.8,10,19,72.2,85.1
72.0,-61.3,18.3,11,21,45.7,63.13
17.0,-84.7,11.7,8,15,17.9,15.31
39.0,-53.8,24.9,13,24,38.0,72.91
110.0,-113.2,-0.1,4,7,63.0,13.75
62.0,-79.9,13.2,9,17,35.5,35.45
82.0,-128.9,-7.6,1,2,42.7,2.16
157.0,-92.8,4.2,5,9,83.1,33.13
44.0,-115.7,-2.1,3,6,35.6,5.19
94.0,-67.2,17.0,10,19,54.0,68.92
7.0,-137.6,-3.7,2,4,3.2,0.5
117.0,-126.3,-6.4,1,2,72.3,4.4
105.0,-92.7,4.5,5,9,60.1,24.58
9.0,-125.1,-2.8,3,6,12.9,1.81
69.0,-111.4,-1.9,3,6,40.5,6.25
108.0,-50.5,19.9,11,21,55.1,78.98
113.0,-130.1,-8.2,1,2,62.8,3.01
137.0,-115.1,-1.6,3,6,78.6,12.65
137.0,-98.5,4.5,5,9,75.4,32.14
126.0,-123.7,-6.4,1,2,74.4,4.93
91.0,-124.4,-3.6,2,4,54.7,6.25
79.0,-83.5,12.7,9,17,42.3,40.44
10.0,-111.7,0.5,4,7,14.6,3.5
154.0,-82.3,9.9,7,13,82.9,60.55
98.0,-125.6,-5.4,2,4,60.0,5.0
48.0,-108.9,0.7,4,7,32.9,8.9
139.0,-134.1,-8.2,1,2,79.7,3.35
21.0,-137.8,-6.0,1,2,24.6,1.65
178.0,-44.0,22.3,12,22,100.0,163.99
143.0,-125.9,-6.6,1,2,80.7,4.92
93.0,-112.4,-2.7,3,6,50.8,7.02
77.0,-101.6,5.9,6,11,47.0,24.39
155.0,-132.8,-8.4,1,2,84.5,3.75
94.0,-109.0,0.4,4,7,64.8,14.71
123.0,-105.7,3.2,5,9,73.0,26.34
80.0,-136.1,-6.3,1,2,61.8,4.22
65.0,-63.2,15.6,10,19,40.8,44.91
125.0,-103.8,2.1,5,9,70.8,21.49
179.0,-79.7,10.7,8,15,97.1,77.13
171.0,-114.7,-2.6,3,6,88.9,12.35
24.0,-107.0,3.3,5,9,25.1,9.3
44.0,-63.3,18.2,11,21,32.7,42.79
40.0,-105.7,2.3,5,9,33.7,10.71
34.0,-63.1,18.8,11,21,25.1,32.11
81.0,-44.0,21.9,12,22,48.0,79.28
122.0,-58.3,15.6,10,19,67.4,77.89
140.0,-96.4,5.1,6,11,80.0,37.44
154.0,-54.8,19.7,11,21,89.0,131.01
79.0,-92.2,7.9,7,13,49.8,31.28
139.0,-82.7,10.5,8,15,79.1,68.86
66.0,-62.8,16.4,10,19,42.3,51.43
103.0,-56.9,18.0,10,19,60.1,87.77
34.0,-86.3,9.6,7,13,24.5,18.65
7.0,-89.1,10.4,8,15,12.0,9.02
16.0,-51.9,22.7,12,22,16.4,27.99
91.0,-124.5,-2.3,3,6,58.2,8.84
82.0,-119.5,-8.9,0,0,48.4,1.8
62.0,-95.3,4.5,5,9,43.1,18.42
67.0,-69.6,15.8,10,19,42.7,53.72
108.0,-130.4,-9.2,0,0,63.9,2.28
120.0,-100.5,1.7,4,7,72.5,20.14
87.0,-112.1,-3.6,2,4,53.0,6.12
69.0,-102.7,3.2,5,9,44.4,16.04
56.0,-48.0,23.2,12,22,40.6,70.74
108.0,-94.2,6.3,6,11,69.0,38.79
83.0,-124.3,-5.2,2,4,49.2,3.86
103.0,-80.4,11.8,8,15,58.3,49.15
12.0,-83.1,14.0,9,17,18.9,19.9
11.0,-122.6,0.6,4,7,13.6,3.15
92.0,-68.4,16.0,10,19,61.1,69.55
161.0,-77.0,10.8,8,15,86.8,66.31
113.0,-132.1,-10.0,0,0,65.9,2.05
12.0,-88.2,6.6,6,11,19.1,10.45
56.0,-60.5,20.4,11,21,39.4,58.52
110.0,-101.2,3.1,5,9,63.9,20.77
113.0,-136.3,-7.8,1,2,69.9,3.4
166.0,-49.1,25.6,13,24,89.5,154.14
151.0,-98.0,2.7,5,9,86.3,29.26
107.0,-49.3,21.2,12,22,57.0,90.06
127.0,-70.3,16.4,10,19,76.7,101.83
17.0,-60.7,19.7,11,21,18.2,25.28
134.0,-84.5,7.7,7,13,84.1,51.35
46.0,-44.2,26.1,14,26,35.2,70.85
22.0,-73.7,13.8,9,17,24.2,26.94
160.0,-86.8,8.9,7,13,93.4,64.64
157.0,-128.9,-3.3,3,6,88.0,11.12
69.0,-62.7,20.1,11,21,45.0,64.8
57.0,-44.0,26.2,14,26,42.7,86.67
139.0,-72.6,15.1,9,17,82.0,87.75
175.0,-114.1,-3.3,2,4,98.6,12.19
50.0,-66.1,15.0,9,17,27.3,30.31
136.0,-100.9,3.3,5,9,73.3,26.23
57.0,-79.0,11.5,8,15,43.8,37.34
29.0,-53.6,22.8,12,22,25.5,45.23
16.0,-60.5,23.1,12,22,16.9,28.58
51.0,-57.4,17.0,10,19,34.4,44.17
138.0,-52.8,23.2,12,22,82.7,140.39
71.0,-126.2,-3.3,3,6,42.5,4.97
180.0,-132.0,-10.0,0,0,100.0,2.97
114.0,-79.1,10.6,8,15,60.1,48.79
131.0,-94.6,6.9,6,11,71.3,42.88
37.0,-65.1,18.4,11,21,26.8,35.17
44.0,-101.9,3.6,5,9,32.0,12.93
63.0,-119.4,-1.0,3,6,39.9,7.37
13.0,-119.0,1.3,4,7,14.2,3.86
152.0,-65.1,17.2,10,19,88.9,111.58
140.0,-53.0,18.3,11,21,82.2,113.59
124.0,-134.3,-7.8,1,2,74.8,3.6
92.0,-129.5,-9.0,0,0,54.5,2.08
159.0,-102.9,0.7,4,7,83.3,19.61
86.0,-126.2,-5.5,2,4,50.2,3.86
75.0,-102.1,2.6,5,9,46.3,15.36
104.0,-55.7,21.0,12,22,53.8,83.42
95.0,-129.0,-10.0,0,0,58.5,1.77
126.0,-135.2,-9.5,0,0,75.9,2.69
151.0,-87.5,8.6,7,13,81.7,56.59
48.0,-105.7,4.5,5,9,34.6,13.42
62.0,-70.6,14.9,9,17,45.8,51.29
55.0,-76.4,14.4,9,17,39.8,43.81
61.0,-127.1,-7.3,1,2,44.5,2.43
74.0,-84.7,11.9,8,15,49.7,41.15
51.0,-57.6,17.7,10,19,44.1,58.63
127.0,-136.8,-8.4,1,2,70.8,3.2
20.0,-64.9,17.5,10,19,25.8,31.98
75.0,-126.0,-5.3,2,4,49.9,4.18
152.0,-94.1,4.3,5,9,83.7,37.34
122.0,-113.1,-4.6,2,4,70.1,6.45
97.0,-66.0,13.5,9,17,61.9,65.56
91.0,-59.2,18.5,11,21,61.0,88.48
107.0,-82.8,10.3,8,15,56.1,44.65
169.0,-111.9,-0.4,4,7,93.9,19.24
128.0,-99.5,6.3,6,11,78.9,40.14
96.0,-70.3,15.3,9,17,59.9,70.13
150.0,-68.0,15.2,9,17,80.7,98.4
160.0,-95.2,1.2,4,7,85.5,23.97
41.0,-80.9,9.7,7,13,37.3,27.63
74.0,-96.2,2.8,5,9,43.5,14.67
111.0,-88.1,10.9,8,15,62.9,50.95
17.0,-94.6,7.7,7,13,23.9,14.25
127.0,-106.6,3.8,5,9,73.8,28.01
136.0,-105.7,1.6,4,7,74.0,21.08
90.0,-48.9,22.8,12,22,59.8,104.32
94.0,-133.7,-7.5,1,2,54.8,2.93
9.0,-64.1,21.6,12,22,15.7,26.48
73.0,-119.5,0.2,4,7,42.8,8.95
10.0,-115.2,-1.3,3,6,17.9,3.0
156.0,-87.5,5.3,6,11,84.1,38.95
49.0,-63.5,17.3,10,19,34.4,43.61
135.0,-106.4,2.1,5,9,74.9,23.24
145.0,-82.6,8.4,7,13,74.5,49.6
36.0,-120.6,-1.2,3,6,26.5,4.5
141.0,-91.0,8.5,7,13,72.0,45.24
37.0,-128.8,-6.4,1,2,35.4,2.39
97.0,-86.5,6.9,6,11,62.0,33.52
123.0,-125.8,-7.3,1,2,70.3,3.9
148.0,-121.5,-5.0,2,4,85.9,7.4
179.0,-103.8,1.2,4,7,98.4,26.34
88.0,-126.0,-4.0,2,4,47.3,5.05
25.0,-73.9,13.6,9,17,23.3,25.19
129.0,-71.8,17.6,10,19,72.1,92.98
18.0,-106.3,3.4,5,9,30.5,11.77
112.0,-83.7,7.7,7,13,69.8,44.89
15.0,-120.5,-2.3,3,6,22.2,3.34
83.0,-84.3,11.2,8,15,47.0,40.71
9.0,-107.3,2.9,5,9,13.5,4.38
168.0,-94.8,4.0,5,9,85.4,36.3
135.0,-92.2,6.5,6,11,79.1,42.43
172.0,-103.2,-0.8,3,6,92.7,18.03
119.0,-91.2,3.9,5,9,71.1,29.28
108.0,-65.4,16.2,10,19,61.5,72.04
16.0,-106.8,1.5,4,7,17.6,5.11
40.0,-92.2,6.5,6,11,33.5,17.62
136.0,-94.9,5.1,6,11,73.4,32.66
44.0,-84.6,12.8,9,17,27.6,25.64
11.0,-112.0,0.4,4,7,17.3,3.95
39.0,-83.2,11.3,8,15,24.6,21.09
21.0,-52.5,23.7,13,24,21.6,40.18
105.0,-72.4,9.6,7,13,66.3,50.74
113.0,-77.2,11.1,8,15,68.5,57.87
80.0,-101.6,5.2,6,11,52.7,25.17
180.0,-86.9,7.5,7,13,95.9,59.08
25.0,-117.4,-1.1,3,6,25.0,4.41
85.0,-44.2,24.8,13,24,51.4,89.79
34.0,-75.4,19.3,11,21,24.0,32.17
108.0,-112.3,-2.6,3,6,66.1,8.45
134.0,-133.8,-7.1,1,2,67.3,3.58
61.0,-63.5,19.3,11,21,42.5,62.2
99.0,-47.9,23.4,13,24,61.6,105.82
145.0,-53.0,19.4,11,21,83.3,118.01
62.0,-53.9,21.0,12,22,36.9,59.11
48.0,-114.9,1.2,4,7,32.8,8.2
179.0,-94.1,5.0,6,11,100.0,45.46
37.0,-59.0,18.5,11,21,37.3,50.66
35.0,-104.6,3.2,5,9,36.1,12.47
112.0,-132.6,-7.5,1,2,60.7,3.09
168.0,-105.1,0.1,4,7,87.2,19.4
149.0,-114.1,-1.6,3,6,87.7,14.27
87.0,-63.1,15.3,9,17,50.8,60.99
48.0,-128.6,-6.5,1,2,34.5,2.22
83.0,-108.2,1.8,4,7,47.2,14.31
127.0,-115.4,-5.9,2,4,64.4,4.48
35.0,-122.4,-0.9,3,6,23.7,4.51
60.0,-65.5,17.9,10,19,34.4,47.72
27.0,-79.3,14.1,9,17,24.7,25.76
129.0,-50.6,21.8,12,22,70.8,112.11
124.0,-113.4,0.7,4,7,70.7,17.64
166.0,-80.8,10.4,8,15,98.0,78.21
45.0,-90.5,6.2,6,11,43.2,22.03
110.0,-101.9,7.6,7,13,68.1,40.69
98.0,-55.1,15.8,10,19,58.0,66.1
174.0,-76.6,9.5,7,13,98.5,78.23
